customer_id,trans_date,tran_amount
CS1780,2011-06-16,79
CS3775,2011-05-18,37
CS3033,2014-08-23,43
CS5246,2014-01-23,90
CS5733,2014-05-29,94
CS5602,2012-02-28,58
CS3157,2011-12-18,105
CS5131,2012-03-13,105
CS3456,2011-11-01,100
CS1957,2014-07-23,85
CS6028,2012-05-04,73
CS3839,2014-02-12,48
CS1434,2011-10-12,42
CS5547,2011-12-18,61
CS3132,2015-03-12,94
CS2842,2014-11-16,87
CS2823,2014-09-28,90
CS1369,2012-10-27,74
CS2892,2013-05-01,54
CS5555,2013-12-15,81
CS4135,2013-02-20,39
CS2997,2013-04-22,57
CS4352,2014-04-11,93
CS3489,2015-01-06,39
CS2914,2014-12-18,63
CS3152,2013-11-18,36
CS4539,2013-07-03,62
CS2416,2012-08-31,66
CS2351,2013-04-05,37
CS1545,2014-02-04,66
CS1652,2012-07-22,41
CS1435,2012-04-14,47
CS6055,2013-04-06,40
CS1990,2014-05-01,92
CS2162,2011-07-03,56
CS4538,2011-07-24,104
CS2986,2012-12-07,80
CS2688,2014-02-13,57
CS3165,2014-11-21,101
CS5501,2012-07-28,45
CS4678,2013-12-08,96
CS2079,2011-12-14,103
CS1164,2014-04-02,84
CS4930,2014-10-17,41
CS3821,2012-12-05,85
CS4834,2012-11-02,58
CS1904,2014-09-20,49
CS2926,2012-12-25,72
CS1508,2013-07-14,35
CS5835,2012-07-28,38
CS1837,2011-09-10,93
CS3461,2013-11-17,45
CS3968,2011-06-25,99
CS5658,2012-10-06,83
CS1935,2013-11-11,95
CS2466,2013-03-19,104
CS1883,2014-05-21,95
CS4649,2013-12-30,42
CS1733,2011-10-09,52
CS3013,2014-05-29,49
CS3043,2013-11-29,60
CS3605,2014-05-24,62
CS5503,2013-07-04,50
CS2394,2014-09-02,67
CS3118,2015-03-01,86
CS1457,2014-03-12,90
CS2289,2012-06-17,84
CS1273,2014-03-07,65
CS2624,2014-02-19,104
CS4517,2012-04-20,67
CS2881,2011-11-17,80
CS3663,2014-01-17,38
CS3904,2014-06-16,42
CS1756,2013-01-13,59
CS1304,2012-04-21,55
CS1246,2014-05-25,92
CS6025,2014-08-16,101
CS5525,2011-11-27,59
CS5371,2012-08-12,105
CS1321,2012-01-02,64
CS5140,2014-05-05,63
CS5503,2012-06-02,79
CS3141,2013-12-18,37
CS1687,2013-12-29,55
CS5733,2015-01-30,82
CS5252,2012-08-19,45
CS3031,2014-01-08,46
CS5353,2014-06-24,35
CS1512,2013-03-12,37
CS3911,2011-10-16,69
CS3896,2011-11-30,49
CS5402,2013-09-21,76
CS2605,2013-11-02,61
CS5487,2012-07-28,90
CS2843,2014-07-05,72
CS4444,2013-03-31,50
CS2386,2012-02-10,86
CS3876,2013-08-28,88
CS1323,2012-08-10,89
CS5534,2013-10-25,103
CS1794,2014-04-02,103
CS5413,2013-01-29,76
CS4726,2014-05-27,85
CS2327,2014-02-09,65
CS2035,2014-06-13,104
CS5136,2011-05-29,79
CS2153,2013-09-15,78
CS2751,2013-12-01,66
CS4438,2015-01-12,39
CS3327,2012-04-01,57
CS5044,2014-10-29,99
CS5420,2014-06-11,55
CS1893,2014-07-21,86
CS1256,2012-01-03,68
CS2117,2013-06-06,68
CS1914,2013-04-16,43
CS3758,2012-03-29,36
CS5300,2014-05-29,93
CS1132,2013-04-17,103
CS1930,2013-11-27,55
CS3013,2012-05-25,48
CS1369,2013-04-17,59
CS1800,2015-03-14,77
CS3528,2014-01-31,44
CS1435,2013-12-23,81
CS4310,2014-10-06,56
CS5178,2012-12-24,68
CS4450,2014-08-25,85
CS4307,2015-01-28,67
CS5776,2013-04-05,38
CS1406,2015-01-16,65
CS2830,2014-11-23,40
CS2298,2013-01-13,57
CS4029,2013-10-02,105
CS1407,2013-03-04,73
CS2197,2014-11-19,67
CS4033,2012-12-28,74
CS6022,2014-09-21,90
CS2119,2014-10-14,87
CS1679,2012-12-25,78
CS4749,2014-09-16,40
CS2002,2014-05-28,69
CS2431,2011-08-03,45
CS3876,2014-12-05,87
CS4514,2011-08-30,36
CS5073,2011-12-21,77
CS6034,2015-01-12,43
CS5604,2011-06-16,67
CS3478,2011-08-21,55
CS4825,2015-02-28,90
CS5199,2012-09-28,44
CS3970,2015-01-08,70
CS3935,2015-01-01,46
CS1286,2015-01-07,53
CS5035,2015-01-12,91
CS4200,2015-01-15,52
CS1279,2011-12-07,55
CS4606,2014-03-27,48
CS1910,2012-03-26,102
CS5697,2014-10-26,69
CS5449,2014-10-16,101
CS5562,2013-08-24,102
CS3315,2011-12-02,62
CS1116,2011-09-13,63
CS2358,2012-06-02,66
CS1843,2015-03-14,95
CS4678,2014-10-18,47
CS3024,2012-05-05,70
CS1398,2012-09-22,57
CS1878,2014-07-26,60
CS1557,2013-03-26,71
CS2522,2013-11-17,38
CS3136,2011-12-23,47
CS5508,2011-10-14,90
CS3188,2014-01-23,77
CS3076,2011-05-24,94
CS4691,2011-08-20,48
CS2971,2011-08-12,37
CS1450,2015-01-17,68
CS2785,2013-08-22,101
CS5532,2013-06-20,76
CS2785,2011-08-19,103
CS1312,2014-11-11,89
CS4872,2012-10-12,44
CS5376,2013-06-05,49
CS4778,2012-06-12,61
CS1301,2014-05-22,70
CS4494,2015-01-04,73
CS3632,2011-07-27,96
CS5654,2013-01-10,86
CS2675,2013-08-08,91
CS3838,2012-12-04,71
CS1144,2013-05-30,91
CS2698,2014-01-08,45
CS2049,2011-10-17,104
CS5527,2011-07-27,87
CS5866,2011-08-12,98
CS3439,2013-07-07,98
CS2809,2014-01-18,100
CS3232,2013-05-02,87
CS5416,2012-08-01,38
CS3223,2012-01-22,59
CS4147,2012-12-27,55
CS1114,2015-02-12,79
CS5186,2012-05-12,62
CS1190,2013-02-24,76
CS5678,2011-08-17,82
CS2430,2015-02-01,47
CS3339,2012-03-02,61
CS5864,2011-08-26,103
CS3452,2013-12-20,73
CS4048,2011-10-04,38
CS5413,2011-12-12,44
CS4228,2014-10-19,77
CS1483,2012-04-08,95
CS3417,2014-12-01,93
CS4208,2012-08-15,35
CS4214,2013-09-30,79
CS3435,2012-04-06,54
CS4837,2014-06-30,45
CS2017,2013-02-18,44
CS4081,2011-08-27,76
CS5908,2014-04-21,47
CS4609,2014-01-22,96
CS2988,2015-02-26,54
CS1607,2013-10-26,95
CS1506,2014-09-03,35
CS2040,2014-12-06,88
CS2004,2014-11-13,62
CS3775,2014-06-05,56
CS4705,2014-06-16,97
CS4367,2012-08-05,54
CS5361,2012-04-03,63
CS3013,2011-11-26,45
CS3961,2012-02-02,72
CS5199,2011-08-22,89
CS3022,2012-04-25,89
CS1376,2014-12-26,87
CS5729,2013-03-17,75
CS5589,2014-02-08,40
CS5062,2011-12-31,96
CS3290,2014-11-19,84
CS3761,2012-04-12,80
CS5890,2012-07-28,91
CS5427,2014-10-23,103
CS5115,2013-03-14,62
CS3967,2011-07-06,87
CS2142,2014-05-25,43
CS4441,2011-11-22,44
CS1834,2014-01-05,38
CS5041,2014-12-04,46
CS6039,2014-01-12,38
CS5413,2014-01-18,93
CS4231,2013-02-17,72
CS2441,2012-07-16,61
CS6102,2015-03-12,80
CS2673,2013-05-19,104
CS5051,2014-05-16,61
CS2842,2012-01-25,54
CS2837,2014-11-21,57
CS1990,2012-09-03,105
CS1122,2012-04-21,41
CS1174,2014-03-31,69
CS2368,2012-11-28,47
CS3628,2015-01-06,50
CS1701,2012-11-12,87
CS1178,2014-06-03,98
CS2999,2011-05-30,44
CS2075,2011-05-21,95
CS3502,2013-12-31,66
CS5646,2011-07-26,70
CS5528,2014-04-01,56
CS2548,2013-12-10,49
CS4862,2012-09-28,81
CS4346,2013-01-09,51
CS2561,2011-12-03,105
CS1301,2011-06-13,85
CS5063,2013-09-11,48
CS3944,2011-10-04,68
CS3975,2011-08-25,52
CS3263,2015-01-15,88
CS4979,2014-09-07,68
CS2592,2013-03-04,37
CS2979,2014-10-23,36
CS1849,2012-04-13,35
CS5720,2013-05-08,64
CS5614,2011-07-03,91
CS4471,2014-08-18,101
CS5822,2012-07-10,38
CS4812,2013-12-26,52
CS2642,2012-03-09,91
CS2845,2014-07-31,64
CS1364,2012-09-01,48
CS3028,2015-02-23,74
CS3214,2013-12-01,83
CS5773,2013-06-06,44
CS1857,2014-01-06,104
CS3866,2014-11-02,96
CS3557,2012-06-16,97
CS3924,2011-07-01,44
CS2459,2011-09-21,40
CS5882,2012-12-08,104
CS3535,2014-12-19,73
CS4482,2014-03-29,105
CS2956,2012-01-02,97
CS4077,2013-11-12,75
CS4061,2012-01-20,46
CS3287,2013-07-16,86
CS5271,2012-09-17,88
CS5480,2012-03-17,82
CS1993,2013-07-25,37
CS1776,2013-09-08,97
CS2992,2012-03-20,95
CS2007,2014-04-25,49
CS1158,2014-12-04,52
CS4820,2015-03-10,44
CS4873,2011-06-07,74
CS2530,2012-11-08,37
CS5279,2013-08-03,77
CS1367,2013-05-19,97
CS3625,2015-01-09,65
CS3427,2013-06-19,62
CS2400,2014-06-27,74
CS1969,2014-01-18,100
CS4030,2012-05-09,88
CS4875,2012-05-19,102
CS6055,2012-06-06,96
CS1642,2012-08-23,58
CS5984,2014-06-02,57
CS2000,2012-05-22,60
CS1146,2012-01-23,70
CS2858,2012-09-19,64
CS4657,2012-08-17,81
CS5744,2012-06-12,67
CS2878,2014-08-29,64
CS5243,2012-05-11,88
CS3798,2012-09-20,86
CS5866,2011-09-02,56
CS2560,2013-05-21,93
CS2314,2012-01-26,104
CS4185,2012-01-10,81
CS1820,2011-08-01,74
CS1235,2014-06-26,37
CS2036,2015-01-27,73
CS1201,2015-01-23,70
CS2789,2011-12-26,44
CS1764,2013-08-28,93
CS1678,2012-04-22,50
CS1366,2014-12-28,71
CS5939,2013-06-18,70
CS4362,2012-02-10,77
CS3759,2013-05-08,99
CS3624,2013-10-05,79
CS2059,2014-07-13,83
CS4670,2013-08-14,42
CS5974,2011-12-06,82
CS2437,2014-03-11,50
CS5678,2014-04-27,96
CS1362,2011-09-21,42
CS5797,2015-01-06,40
CS2384,2011-10-15,60
CS5813,2012-12-06,35
CS2271,2013-08-26,40
CS5518,2013-09-18,53
CS5867,2013-08-30,100
CS5812,2014-12-04,41
CS3288,2013-01-26,92
CS2534,2011-12-29,82
CS3336,2012-09-08,76
CS1564,2012-12-09,44
CS4290,2012-06-13,55
CS2823,2011-12-23,40
CS5703,2014-10-12,38
CS1525,2013-10-27,93
CS2620,2011-06-19,48
CS5490,2015-02-28,50
CS2373,2013-11-11,63
CS3505,2012-09-11,59
CS2046,2014-07-19,73
CS5595,2014-02-04,79
CS4462,2011-12-13,102
CS3081,2012-12-06,96
CS4670,2011-10-04,81
CS5979,2012-01-07,88
CS3516,2013-12-20,85
CS4623,2013-12-02,83
CS4784,2012-01-23,65
CS3144,2013-10-23,91
CS1470,2014-05-25,35
CS3347,2014-06-21,81
CS3711,2013-11-18,83
CS5561,2011-11-25,72
CS2122,2012-03-10,43
CS2754,2014-09-21,104
CS1756,2012-12-06,44
CS1937,2014-11-29,79
CS5527,2014-03-08,39
CS4421,2013-02-09,36
CS2276,2013-10-23,79
CS4701,2011-07-09,40
CS5043,2012-05-27,84
CS5447,2011-08-18,100
CS5583,2012-08-12,68
CS1240,2014-06-13,74
CS5964,2013-01-20,94
CS4108,2015-01-09,64
CS3456,2012-08-01,55
CS5176,2014-02-06,36
CS1805,2013-08-19,83
CS4463,2014-09-09,92
CS3251,2014-05-14,51
CS4163,2012-07-23,48
CS4285,2014-01-25,78
CS5049,2013-10-24,59
CS6095,2013-04-29,99
CS3578,2014-06-06,90
CS1373,2011-07-02,38
CS4796,2012-01-16,87
CS3589,2011-07-04,65
CS5356,2012-04-18,104
CS4254,2014-07-29,47
CS4593,2013-08-22,48
CS5213,2012-09-08,60
CS2631,2013-08-24,87
CS1739,2012-05-30,72
CS2839,2012-10-10,64
CS3889,2014-09-25,54
CS3683,2011-11-13,36
CS2835,2014-05-09,65
CS4372,2012-04-29,39
CS3176,2015-03-06,36
CS5970,2014-09-07,88
CS4320,2013-06-19,78
CS1326,2015-02-20,79
CS2377,2014-10-24,52
CS5592,2012-03-23,103
CS1449,2013-07-02,71
CS1415,2013-04-28,105
CS3083,2014-04-16,94
CS4452,2012-06-02,51
CS4074,2013-05-25,60
CS5061,2012-03-06,58
CS5972,2012-02-18,97
CS1935,2012-08-28,77
CS1218,2012-10-14,61
CS5176,2012-02-20,92
CS2933,2012-04-09,56
CS3373,2014-12-10,47
CS5495,2015-01-11,101
CS4776,2011-07-03,62
CS2256,2012-12-16,96
CS2154,2012-01-20,60
CS5382,2013-04-12,71
CS1792,2012-12-01,45
CS2399,2011-09-29,50
CS3754,2014-05-12,98
CS3151,2011-09-11,71
CS2860,2012-02-21,54
CS4130,2013-01-17,83
CS5747,2011-10-10,53
CS4218,2011-11-26,84
CS5387,2011-12-16,65
CS3212,2012-12-31,67
CS2482,2014-01-27,47
CS4323,2013-07-04,44
CS1170,2012-03-07,64
CS4580,2012-12-07,89
CS1736,2014-08-21,81
CS3790,2015-02-07,35
CS4853,2014-12-26,105
CS1475,2012-10-11,36
CS5991,2013-07-31,89
CS1245,2012-06-17,90
CS2267,2012-05-23,104
CS2741,2013-04-26,76
CS4149,2014-08-09,81
CS1471,2012-05-02,70
CS5647,2012-08-26,98
CS2346,2013-06-30,53
CS4161,2014-07-09,104
CS4901,2014-01-23,56
CS3638,2012-10-18,54
CS6064,2012-04-09,62
CS3365,2011-12-21,81
CS2822,2014-01-22,78
CS5608,2014-06-14,62
CS2240,2012-08-16,97
CS4114,2014-05-30,41
CS2305,2011-12-15,49
CS3693,2013-08-18,105
CS1975,2011-06-17,103
CS4390,2013-10-10,77
CS4836,2011-07-30,81
CS4184,2013-03-06,103
CS3232,2014-02-13,42
CS3018,2011-06-16,96
CS1271,2013-09-24,80
CS2493,2014-03-17,49
CS2860,2014-06-12,78
CS1114,2013-12-29,105
CS3673,2013-04-27,102
CS5314,2012-12-20,62
CS2688,2013-01-26,62
CS2177,2015-03-16,80
CS1885,2012-05-11,46
CS3494,2013-09-01,98
CS5797,2014-11-26,81
CS4921,2013-02-26,82
CS3678,2014-04-23,58
CS4841,2013-03-13,101
CS5758,2012-10-14,69
CS3587,2013-04-23,42
CS1249,2011-06-21,80
CS4875,2013-02-12,82
CS4887,2014-08-26,59
CS4999,2011-08-19,46
CS1206,2012-02-07,39
CS2557,2011-09-16,66
CS5255,2014-03-22,73
CS4373,2012-11-28,67
CS4368,2013-03-25,43
CS5140,2011-12-08,67
CS3665,2013-05-29,43
CS1140,2014-04-01,36
CS3155,2011-06-08,90
CS2139,2013-06-25,64
CS3276,2012-06-03,70
CS5130,2013-11-03,49
CS4659,2014-07-11,39
CS2087,2012-08-01,69
CS3331,2013-01-29,35
CS2759,2012-05-08,35
CS4804,2012-02-12,35
CS1865,2012-04-25,85
CS3961,2012-10-14,87
CS3525,2013-08-28,70
CS1729,2014-09-02,54
CS5482,2012-11-09,80
CS4546,2012-03-24,77
CS3972,2011-09-21,87
CS2748,2012-09-25,35
CS4364,2014-12-28,69
CS2945,2014-09-06,79
CS1878,2014-03-13,45
CS1654,2014-05-05,69
CS2146,2012-09-20,90
CS1930,2014-02-12,46
CS4414,2013-05-19,98
CS4341,2014-03-14,50
CS4608,2012-11-05,105
CS3747,2011-05-20,55
CS5087,2013-11-25,58
CS4139,2013-02-03,60
CS3654,2013-11-19,97
CS6040,2015-01-26,80
CS1659,2013-08-18,70
CS5205,2015-01-22,98
CS5892,2013-05-13,63
CS5104,2011-10-04,42
CS4889,2012-08-28,55
CS4967,2014-06-13,55
CS5676,2011-08-01,59
CS4045,2014-11-12,56
CS2700,2014-08-18,40
CS2485,2013-09-17,40
CS2141,2014-12-15,89
CS2045,2011-11-03,35
CS2279,2011-08-30,62
CS1242,2013-02-20,88
CS3468,2012-08-01,58
CS6023,2014-08-31,83
CS2946,2012-02-14,97
CS1818,2015-02-18,85
CS3270,2014-08-20,38
CS4612,2011-11-09,102
CS2172,2013-05-19,71
CS5362,2014-08-04,48
CS1963,2012-12-25,69
CS3579,2012-03-21,76
CS1922,2013-09-29,76
CS5404,2014-02-03,70
CS5996,2015-03-11,73
CS6031,2015-01-02,61
CS5935,2013-03-11,45
CS3096,2012-06-30,48
CS3233,2015-02-23,68
CS4097,2014-12-19,48
CS2982,2014-09-30,57
CS4222,2012-09-05,105
CS3888,2013-07-06,53
CS2835,2012-12-26,54
CS3682,2011-05-27,40
CS4132,2015-02-06,41
CS1755,2014-04-15,46
CS1166,2013-09-26,58
CS2278,2014-08-19,83
CS4381,2011-06-29,73
CS2514,2014-10-12,100
CS5712,2013-08-09,68
CS3936,2013-02-10,95
CS2439,2011-07-07,68
CS1984,2012-12-04,88
CS2493,2011-08-31,101
CS5508,2012-06-11,74
CS2258,2014-10-02,75
CS1653,2012-02-07,46
CS5048,2011-09-13,59
CS4698,2014-09-30,38
CS3786,2013-01-20,36
CS6101,2013-01-22,105
CS1150,2011-08-23,48
CS2847,2012-07-02,102
CS2569,2014-03-22,75
CS4660,2013-09-16,104
CS1517,2012-10-19,45
CS3761,2013-05-18,92
CS2671,2012-01-18,97
CS3679,2012-11-24,76
CS4048,2013-02-22,73
CS3260,2015-02-06,54
CS5371,2012-06-20,70
CS3502,2012-05-18,70
CS2350,2014-04-11,40
CS3410,2012-01-08,44
CS1770,2011-09-01,75
CS5698,2012-03-25,86
CS3646,2014-06-23,87
CS3828,2012-03-17,86
CS2384,2012-02-14,48
CS2168,2011-08-20,43
CS2320,2013-07-13,95
CS2718,2014-02-05,66
CS6073,2012-10-28,63
CS4729,2012-02-20,42
CS5113,2014-08-14,45
CS4420,2013-08-30,74
CS5861,2014-04-16,88
CS4668,2012-09-02,84
CS5700,2011-09-02,82
CS5035,2012-10-08,63
CS1906,2014-07-05,102
CS1117,2013-07-21,49
CS5530,2012-04-23,63
CS3122,2013-07-18,36
CS2021,2014-01-12,51
CS2384,2012-04-11,65
CS3632,2014-12-28,80
CS1337,2013-08-21,50
CS5698,2012-12-16,46
CS5154,2015-03-09,42
CS1851,2012-09-25,58
CS3591,2014-07-09,64
CS3174,2014-03-18,60
CS4612,2012-10-03,82
CS5552,2014-03-25,81
CS2729,2014-12-30,81
CS5086,2014-08-09,35
CS3377,2014-03-25,57
CS2204,2014-01-15,92
CS3615,2012-03-08,47
CS1997,2013-11-17,103
CS2292,2012-07-04,94
CS2361,2011-09-28,66
CS4503,2014-02-19,92
CS5027,2014-05-03,89
CS6025,2012-03-02,57
CS3093,2014-07-05,47
CS3092,2012-05-06,94
CS4318,2012-07-30,37
CS4075,2014-07-30,99
CS4424,2013-05-08,81
CS1828,2014-09-28,49
CS4232,2012-12-16,84
CS2019,2014-01-18,101
CS1748,2013-06-11,37
CS1830,2012-06-14,63
CS1786,2013-05-22,36
CS4299,2012-03-23,50
CS4610,2014-01-21,86
CS4557,2012-01-01,100
CS4098,2012-08-04,74
CS5076,2013-06-29,92
CS4885,2014-09-15,43
CS4888,2013-01-26,35
CS3443,2012-11-17,95
CS2700,2011-07-09,47
CS1215,2013-05-06,44
CS4378,2011-12-11,84
CS3795,2013-02-24,67
CS1615,2012-05-28,66
CS2986,2014-11-13,41
CS5542,2013-11-24,79
CS4872,2015-03-14,80
CS3969,2012-10-21,62
CS2650,2013-11-05,89
CS2364,2015-02-22,105
CS1775,2012-04-28,90
CS1870,2013-07-02,40
CS3013,2012-04-09,40
CS5851,2015-03-13,87
CS5833,2014-12-31,43
CS2349,2014-04-13,67
CS1247,2013-11-03,69
CS1919,2014-01-01,72
CS5325,2011-10-15,46
CS3656,2011-11-28,45
CS4055,2014-03-22,73
CS2796,2013-02-15,73
CS2847,2014-11-05,48
CS1947,2011-07-25,46
CS5567,2014-03-01,70
CS5240,2014-07-14,99
CS1832,2013-09-30,46
CS2485,2013-01-07,56
CS1325,2014-08-25,52
CS4471,2011-12-26,94
CS5427,2012-05-30,81
CS3797,2011-08-08,36
CS3404,2013-11-30,105
CS5367,2013-02-06,64
CS3739,2013-03-21,51
CS5862,2011-08-10,86
CS5100,2013-10-23,75
CS3369,2014-05-04,87
CS1184,2014-11-23,95
CS3094,2014-01-07,46
CS5085,2011-08-19,63
CS2448,2014-05-08,102
CS4218,2012-10-08,105
CS5673,2014-06-15,102
CS1448,2014-07-06,100
CS4597,2012-07-26,62
CS2599,2013-08-10,39
CS2656,2013-06-04,66
CS5105,2012-12-13,72
CS3504,2014-09-15,50
CS2657,2012-02-15,94
CS2398,2013-09-29,49
CS2601,2013-11-27,80
CS3626,2011-11-15,69
CS1650,2014-11-23,51
CS5519,2012-08-13,86
CS3205,2015-02-25,55
CS2201,2011-07-16,99
CS5782,2011-12-17,98
CS2536,2011-07-03,87
CS2083,2012-12-03,49
CS3540,2011-11-10,93
CS5420,2012-05-21,58
CS3034,2013-02-22,63
CS2333,2011-08-22,47
CS1326,2015-01-06,72
CS1178,2014-03-16,71
CS4034,2011-08-08,61
CS2443,2012-09-09,60
CS1191,2013-12-18,62
CS1382,2011-09-29,43
CS3968,2015-02-07,80
CS3715,2015-01-11,70
CS5235,2014-11-16,45
CS4377,2014-06-24,37
CS4370,2014-07-15,67
CS3255,2014-05-22,35
CS4241,2012-04-06,56
CS5459,2014-04-01,59
CS3075,2015-03-13,72
CS5567,2015-01-16,84
CS2348,2014-06-21,81
CS4802,2014-11-18,96
CS5471,2012-03-31,63
CS5409,2011-09-16,87
CS2049,2014-09-13,83
CS5498,2013-09-01,50
CS3507,2013-11-25,42
CS2895,2012-07-30,44
CS3862,2012-06-02,49
CS2484,2013-09-04,62
CS2953,2013-04-25,65
CS1714,2015-03-05,63
CS1549,2013-06-07,71
CS2081,2012-02-23,62
CS6095,2012-07-10,69
CS3744,2014-02-02,85
CS3577,2013-04-28,64
CS2289,2013-10-05,57
CS5492,2014-04-17,66
CS5007,2012-06-17,60
CS1851,2013-02-02,94
CS3735,2011-06-08,51
CS4669,2013-11-26,83
CS2207,2014-01-27,42
CS1430,2013-04-10,43
CS4893,2013-09-22,90
CS4104,2013-07-08,41
CS2962,2015-01-18,39
CS1809,2013-01-05,47
CS2530,2014-08-31,101
CS4902,2012-03-02,53
CS4450,2014-04-15,83
CS5261,2013-09-02,35
CS6048,2012-01-09,94
CS2593,2012-09-20,93
CS5517,2012-07-08,96
CS5077,2014-04-24,74
CS2282,2014-01-15,91
CS3268,2013-05-25,93
CS1726,2013-04-30,36
CS5817,2012-08-05,73
CS4366,2012-09-29,64
CS1422,2013-03-07,80
CS5745,2012-01-24,43
CS6077,2014-09-21,86
CS4181,2014-12-02,61
CS3985,2012-02-29,40
CS1447,2013-04-27,61
CS2117,2012-01-27,60
CS1339,2011-07-11,40
CS4576,2014-09-10,78
CS1658,2014-05-31,37
CS5036,2011-12-09,36
CS2256,2014-01-24,79
CS2324,2014-06-15,94
CS5710,2012-08-02,60
CS2691,2012-03-04,68
CS3627,2014-05-26,79
CS1247,2013-12-23,38
CS5075,2011-08-27,84
CS5152,2013-03-25,46
CS4885,2012-12-01,40
CS5052,2011-10-08,64
CS3195,2014-09-18,43
CS2195,2012-07-05,66
CS4356,2014-01-08,61
CS2561,2013-09-17,38
CS2740,2013-07-26,99
CS5490,2013-11-11,47
CS1379,2011-10-08,90
CS5213,2012-04-26,95
CS5818,2013-03-19,76
CS5539,2012-09-15,58
CS1664,2011-08-21,73
CS3413,2014-07-26,73
CS4844,2014-03-19,73
CS1210,2014-08-05,93
CS1272,2011-11-25,64
CS4939,2012-01-04,36
CS4631,2011-07-31,102
CS4708,2013-02-13,64
CS3104,2013-07-15,57
CS4273,2012-11-20,59
